Term (t),D1 (TF),D2 (TF),D3 (TF),IDF,D1 (TF-IDF),D2 (TF-IDF),D3 (TF-IDF)
ada,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
afal,0.0,0.0,0.07142857142857142,1.0986122886681098,0.0,0.0,0.07847230633343641
aja,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
apanya,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
bakalan,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
banget,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
bngt,0.0,0.08333333333333333,0.0,1.0986122886681098,0.0,0.0915510240556758,0.0
bugil,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
bukan,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
buku,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
bulu,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
bunda,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
cm,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
d,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
dan,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
denger,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
dkmr,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
dll,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
dngr,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
dr,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
drnjng,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
eh,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
enk,0.0,0.0,0.07142857142857142,1.0986122886681098,0.0,0.0,0.07847230633343641
gak,0.022222222222222223,0.041666666666666664,0.0,0.4054651081081644,0.009010335735736986,0.016894379504506847,0.0
ganti,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
gde,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
gerakannya,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
gy,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
heran,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
hti,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
in,0.0,0.0,0.07142857142857142,1.0986122886681098,0.0,0.0,0.07847230633343641
ingin,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
itu,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
jembut,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
jls,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
kali,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
karena,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
khilafah,0.06666666666666667,0.0,0.0,1.0986122886681098,0.07324081924454065,0.0,0.0
lagunya,0.0,0.0,0.10714285714285714,1.0986122886681098,0.0,0.0,0.11770845950015461
lah,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
langsung,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
lebat,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
lngsng,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
masih,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
mau,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
memeqbeceq,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
mereka,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
mngkin,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
mntf,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
munafik,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
ngeles,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
niat,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
nkri,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
orasi,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
pada,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
pertama,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
pngn,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
praktekin,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
prof,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
rkyat,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
sangegatel,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
saya,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
sm,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
smbil,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
sngat,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
spanduk,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
sy,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
tdr,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
tegakkan,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
telnjng,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
tetekmemeky,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
tmpt,0.0,0.041666666666666664,0.0,1.0986122886681098,0.0,0.0457755120278379,0.0
tolol,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
tuh,0.0,0.08333333333333333,0.0,1.0986122886681098,0.0,0.0915510240556758,0.0
udh,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
video,0.022222222222222223,0.0,0.0,1.0986122886681098,0.024413606414846883,0.0,0.0
viral,0.0,0.0,0.03571428571428571,1.0986122886681098,0.0,0.0,0.039236153166718205
yg,0.044444444444444446,0.0,0.0,1.0986122886681098,0.04882721282969377,0.0,0.0
yh,0.0,0.08333333333333333,0.0,1.0986122886681098,0.0,0.0915510240556758,0.0
